char,dialog,movie
ARAGORN:,"Brego! ,
 ",The Return of the King Movie Script
ARAGORN:,I do not fear death! ,The Return of the King Movie Script
GALADRIEL: ,"This task was appointed to you, Frodo of the Shire. If you do not find a 
    way, no one will. ,
 ",The Return of the King Movie Script
EOMER:,"The scouts report Minas Tirith is surrounded. The lower level�s in 
flames. Everywhere, legions of the enemy advance. ,
 ",The Return of the King Movie Script
THEODEN:,"Time is against us. Make ready!,
 ",The Return of the King Movie Script
EOWYN:,"Take heart Merry. , It will soon be over,
 ",The Return of the King Movie Script
MERRY: ,"My lady. You are fair and brave and have much to live for
    , and many who love you. I 
    know it is too late to turn aside. I know there is not much point now in 
    hoping. If I were a knight of Rohan capable of great 
deeds�but I�m not. I�m a Hobbit. And I know I can�t save Middle Earth. I just 
want to help my friends; Frodo, Sam, Pippin. More than anything I wish I could 
see them again. ",The Return of the King Movie Script
EOMER:,"Prepare to move out! ,
 ",The Return of the King Movie Script
THEODEN:,"Make haste. We ride through the night. ,
 ",The Return of the King Movie Script
EOWYN:,"To battle,
 ",The Return of the King Movie Script
MERRY:,"To battle,
 ",The Return of the King Movie Script
GANDALF: ,"Back to the gate! Hurry!,
 ",The Return of the King Movie Script
GIMLI:,"Well this is a thing unheard of. An elf will go underground, where a 
    dwarf dare not. Oh. Oh, I�d never hear the end of it. ,
 ",The Return of the King Movie Script
THEODEN: ,"We must ride light and swift. It is a long road ahead and man and beast 
    must reach the end with the strength to fight. ,
 ",The Return of the King Movie Script
THEODEN: ,"Little Hobbits do not belong in war Master Meriadoc. ,
 ",The Return of the King Movie Script
MERRY:,"All my friends have gone to battle. I would be ashamed to be left 
    behind. ,
 ",The Return of the King Movie Script
THEODEN:,"It is a three-day gallop to Minas Tirith and none of my riders can bear 
    you as a burdon. ,
 ",The Return of the King Movie Script
MERRY: ," I want to fight!,
 ",The Return of the King Movie Script
THEODEN:,"I will say no more. ,
 ",The Return of the King Movie Script
EOWYN:,"Ride with me! ,
 ",The Return of the King Movie Script
MERRY:,"My lady! ,
 ",The Return of the King Movie Script
EOMER:,"Form up, move out! Form up, move out! ,
 ",The Return of the King Movie Script
THEODEN:," Ride! Ride now to Gondor.,
 ",The Return of the King Movie Script
GIMLI:,"What is it? What do you see? ,
 ",The Return of the King Movie Script
LEGOLAS:,"I see shapes of men and of horses.,
 ",The Return of the King Movie Script
GIMLI: ,"Where? ,
 ",The Return of the King Movie Script
