char,dialog
MERRY:,"He�s always followed me everywhere I went since before we were tweens. I 
    would get him into the worst sort of trouble but I was always there to get 
    him out. Now he�s gone. , Just 
    like Frodo and Sam.,
 "
ARAGORN: ,"One thing I�ve learnt about Hobbits: They are a most hardy folk.,
 "
MERRY:,Foolhardy maybe. He�s a Took! 
"
PIPPIN:","
     Merry! ,
      "
"
PIPPIN:","
  Merry! ,  Merry it�s me.
    ,  It�s Pippin! ,
     "
"
MERRY:","
  I knew you�d find me.,
     "
"
PIPPIN:","
 Yes. ,
     "
"
MERRY: ","
  Are you going to leave me?,
     "
"
PIPPIN:","
  No Merry, I�m going to look after you. ,
     "
"
PIPPIN:","
     I didn�t think it would end this way.  ,
 "
"
GANDALF:","
  End?  No, the journey doesn�t end here.  Death is just another path, one that we all must take.
    ,  The grey rain curtain of this world rolls back and all turns to silvered glass.  And then you see it.,
     "
"
PIPPIN:","
  What?  Gandalf?  See what?,
     "
"
GANDALF:","
  White shores and beyond,  a far green country under a swift sunrise. ,
     "
"
PIPPIN: ","
  Well, , that�s not  so bad.,
     "
"
GANDALF: ","
  No.  No it isn�t.,
     "
"
THEODEN: ","
  Rally to me!  To meeee! ,
     "
"
WITCH KING:","
     Feast on his flesh.,
     "
"
GORBAG:","
  Hands off! That shiny shirt, that�s mine! ,
    "
"
SHAGRAT:","
  It�s going to the Great Eye, along with everything else. ,
     "
"
GORBAG:","
  I don�t take orders from stinking Morgul-rats! ,
     "
"
SHAGRAT:","
  You touch it and I�ll stick this blade in your gut!,
     "
"
GORBAG:","
     The scum tried to knife me.  Kill him! ,
     "
"
SAM: ","
  That�s for Frodo!,
     "
"
SAM: ","
  And the Shire!,
     "
"
SAM:","
  And that�s for my old gaffer!,
     "
"
SHAGRAT: ","
  Stop your squealing you dunghill rat! ,
     "
"
SHAGRAT:","
  I�m gonna bleed you like a stuck pig! ,
     "
"
SAM:","
  Not if I stick you first! ,
     "
"
FRODO:","
  Sam! ,
     "
"
FRODO:","
  Oh Sam, I�m so sorry.  Sorry for everything.,
     "
"
SAM: ","
  Let�s get you out of here. ,
     "
"
FRODO: ","
  It�s too late.  It�s over.  They�ve taken it Sam,  they took the Ring! ,
     "
"
EOWYN:","
     I will kill you if you touch him.,
     "
"
WITCH KING:","
  Do not come between the Nazg�l and his prey.,
     "
"
ORC: ","
  Late as usual, pirate scum. ,  There�s knifework here needs doing. Come on you sea rats, get off your ships. ,
     "
"
GIMLI: ","
  There�s plenty for the both of us, may be best Dwarf win! ,
     "
"
WITCH KING:","
  You fool!  No man can kill me.  Die now!,
    "
"
EOWYN:","
  I am no man! ,
     "
"
SAM:","
  Begging your pardon but they haven�t.,
     "
"
SAM:","
  I thought I�d lost you.  So I took it, only for safekeeping. ,
     "
"
FRODO:","
  Give it to me! ,  Give me the Ring Sam.
    ,  Sam!  Give me the Ring.
    ,  You must understand.  The Ring is my burden.  It will destroy you Sam. ,
     "
"
SAM: ","
  Come on Mr Frodo.  We�d best find you some clothes.  You can�t go walking through Mordor in nowt but your skin. ,
     "
"
SAM: ","
  We did it Mr Frodo.  We made it to Mordor. ,
     "
"
FRODO:","
  There are so many of them.  We�ll never get through unseen. ,
     "
"
FRODO:","
  It�s Him, the Eye!,
     "
"
SAM:","
  We have to go in there Mr Frodo.  There�s nothing for it. ,  Come on let�s just make it down the hill for starters. ,
     "
"
GANDALF:","
  Frodo has passed beyond my sight. ,  The darkness is deepening. ,
     "
"
ARAGORN:","
  If Sauron had the Ring we would know it. ,
     "
"
GANDALF:","
     It�s only a matter of time.  He has suffered a defeat, yes, but behind the walls of Mordor our enemy is regrouping.,
     "
"
GIMLI:","
  Let him stay there!  Let him rot!  Why should we care?,
     "
"
GANDALF:","
  Because 10,000 Orcs now stand between Frodo and Mount Doom.,
     "
"
GANDALF: ","
  I�ve sent him to his death. ,
     "
"
ARAGORN:","
  No.  There is still hope for Frodo.  He needs time and safe passage across the plains of
    Gorgoroth.  We can give him that. ,
     "
"
GIMLI: ","
  How?,
     "
"
ARAGORN:","
  Draw out Sauron�s armies.  Empty his lands.   Then we gather our full strength and march on the Black Gate. ,
     "
"
EOMER:","
  We cannot achieve victory through strength of arms. ,
     "
"
ARAGORN:","
  Not for ourselves.  But we can give Frodo his chance if we keep Sauron�s eye fixed upon us.   Keep him blind to all else that moves. ,
     "
"
LEGOLAS:","
  A diversion. ,
     "
"
GIMLI:","
  Certainty of death, small chance of success, what are we waiting for? ,
     "
"
GANDALF:","
  Sauron will suspect a trap.  He will not take the bait.,
     "
"
ARAGORN: ","
  Oh, I think he will. ,
     "
"
ARAGORN:","
  Long have you hunted me.  Long have I eluded you.  No more! ,  Behold, the Sword of Elendil! ,
     "
GANDALF VOICE OVER:,"You cannot pass!,
 "
FRODO VOICE OVER:,"Gandalf!,
 "
GANDALF VOICE OVER:,"I am a servant of the Secret Fire, wielder of the flame of Anor.,
    Go back to the Shadow.,
The dark fire will not avail you,,
flame of Udun!"
GANDALF:,"You shall not pass!,
 "
BOROMIR :," No! No!,
 "
FRODO:,"Gandalf!,
 "
GANDALF: ,"Fly, you fools!,
 "
FRODO :,"No!Gandalf!,
 "
FRODO:,"Gandalf!,
 "
SAM: ,"What is it, Mr. Frodo?,
 "
FRODO:,"Nothing.
Just a dream.,
 "
SAM:,"Can you see the bottom?,
 "
FRODO:,"No! Don't look down, Sam!
Just keep going!,
 "
SAM:,"Catch it! Grab it, Mr. Frodo!,
 "
SAM:,"Mr. Frodo!,
 "
FRODO:,"I think I've found the bottom.,
 "
SAM:,"Bogs and rope,
and goodness knows what.
It's not natural. None of it.,
 "
FRODO:,"What's in this?,
 "
SAM:,"Nothing.Just a bit of seasoning.I thought maybe if we was having,
a roast chicken one night or something.,
 "
FRODO:,"Roast chicken?!,
 "
SAM:,"You never know.,
 "
FRODO:,"Sam. My dear Sam.,
 "
SAM:,"It's very special, that.
It's the best salt in all the Shire.,
 "
FRODO:,"It is special. It's a little bit of home.,
 "
FRODO:,"We can't leave this here for someone
to follow us down.,
 "
SAM:,"Who's gonna follow us down here,
Mr. Frodo?
It's a shame, really.,
Lady Galadriel gave me that.
Real Elvish rope.,
    Well, there's nothing for it.
It's one of my knots.Won't come free in a hurry.,
 "
FRODO:,"Real Elvish rope.,
 "
SAM:,"Mordor. The one place in Middle-earth
we don't want to see any closer.
And it's the one place
we're trying to get to.
It's just where we can't get.
,
    Let's face it, Mr. Frodo, we're lost.
I don't think Gandalf meant for us to
come this way.,
 "
FRODO:,"He didn't mean for a lot of things
to happen, Sam......but they did.,
 "
SAM:,"Mr. Frodo?
It's the Ring, isn't it?,
 "
FRODO:,"It's getting heavier.,
 "
FRODO:,"What food have we got left?,
 "
SAM:,"Let me see.Oh, yes. Lovely.
Lembas bread. And look!
More lembas bread.,
 "
SAM:,"I don't usually hold with foreign food.....but this Elvish stuff, it's not bad.,
 "
FRODO:,"Nothing ever dampens your spirits,
does it, Sam?,
 "
SAM:,"Those rain clouds might.,
 "
SAM:,"This looks strangely familiar.,
 "
FRODO:,"It's because we've been here before.
We're going in circles.,
 "
SAM:,"What is that horrid stink?
I warrant there's a nasty bog nearby. Can you smell it?,
 "
FRODO:,"Yes.....I can smell it.................We're not alone.,
 "
GOLLUM:,"The thieves............... The thieves.
The filthy little thieves.
Where is it?.............
Where is it?
They stole it from us.............
My precious.........
Curse them, we hates them!
It's ours, it is, and we wants it!,
 "
FRODO:,"This is Sting.
You've seen it before......haven't you, Gollum?
Release him or I'll cut your throat.,
 "
GOLLUM:,"Yessssss,
 "
GOLLUM:,"It burns!
It burns us!
It freezes!
Nasty Elves twisted it.,
 "
GOLLUM:,"Take it off us!,
 "
SAM :,"Quiet, you!
It's hopeless. Every Orc in Mordor's
going to hear this racket.,
    Let's just tie him up and leave him.,
 "
GOLLUM: ,"No!
That would kill us! Kill us!,
 "
SAM:,"
It's no more than you deserve!,
 "
FRODO:,"Maybe he does deserve to die.
But now that I see him, I do pity him.,
 "
GOLLUM:,"We be nice to them
if they be nice to us.
Take it off us.We swears to do what you wants................We swears.,
 "
FRODO:,"There's no promise you can make
that I can trust.,
 "
GOLLUM:,"We swears......to serve the master 
...........
of the precious. We will swear on.....on the precious,
Gollum. Gollum.,
 "
FRODO:,"The Ring is treacherous.
It will hold you to your word.,
 "
GOLLUM:,"Yes......on the precious.....On the precious.,
 "
SAM:,"I don't believe you!,
 "
SAM:,"Get down! I said, down!,
 "
FRODO: ,"Sam!,
 "
SAM:,"He's trying to trick us.
If we let him go, he'll throttle us
in our sleep.,
 "
FRODO:,"You know the way to Mordor?,
 "
GOLLUM:,"Yes.,
 "
FRODO:,"You've been there before?,
 "
GOLLUM:,"Yes.,
 "
FRODO:,"
You will lead us to the Black Gate.,
 "
SMEAGOL:,"To the Gate, to the Gate!
To the Gate, the master says. Yes!,
 "
GOLLUM:,"No! We won't go back.
Not there. Not to him.
They can't make us. Gollum! Gollum!,
 "
SMEAGOL:,"But we swore to serve the master
of the precious.,
 "
GOLLUM:,"No. Ashes and dust and thirst there is,
and pits, pits, pits.
And Orcses, thousands of Orcses.
And always the Great Eye watching,,
watching.,
 "
SAM:,"Hey! Come back now! Come back!
There! What did I tell you?
He's run off, the old villain.
So much for his promises.,
 "
SMEAGOL:,"This way, Hobbits.
Follow me!,
 "
PIPPIN:,"Merry!
Merry!,
 "
GRISHNAK:,"You're late
Our master grows impatient.He wants the Shire-rats now.,
 "
UGLUK:,"I don't take orders from Orc-maggots.
Saruman will have his prize.
We will deliver them.,
 "
PIPPIN:,"Merry! Merry? Wake up,
 "
PIPPIN:,"My friend is sick.
He needs water. Please!,
 "
URUK HAI:,"Sick, is he?
Give him some medicine, boys!,
 "
PIPPIN:,"
Stop it!,
 "
URUK HAI:,"Can't take his draught!,
 "
PIPPIN:,"Leave him alone!,
 "
URUK HAI:,"Why?
You want some?,
 "
URUK HAI:,"Then keep your mouth shut.,
 "
PIPPIN:,"Merry.,
 "
MERRY:," Hello, Pip.,
 "
PIPPIN:,"You're hurt.,
 "
MERRY:,"I'm fine. lt was just an act.,
 "
PIPPIN:,"An act?,
 "
MERRY:,"See? I fooled you too.
Don't worry about me, Pippin.,
 "
UGLUK:,"What is it? What do you smell?,
 "
URUK HAI:,"Man-flesh,
 "
UGLUK:,"They've picked up our trail.,
 "
PIPPIN:," Aragorn.,
 "
UGLUK:,"Let's move!,
 "
ELROND:,"Take her by the safest road. A ship lies anchored in the Grey Havens. It 
    waits to carry her across the sea. The last journey of Arwen Und�miel. ,
 "
ELROND:,"There is nothing for you here only death.,
 "
FIGWIT:,"Lady Arwen we cannot delay. , My lady!,
 "
ARWEN:,"Tell me what you have seen.,
 "
ELROND:,"Arwen.,
 "
ARWEN:,"You have the gift of foresight. What did you see?,
 "
ELROND:,"I looked into your future and I saw death.,
 "
ARWEN:,"But there is also life. You saw there was a child. You saw my son.,
 "
ELROND:,"That future is almost gone.,
 "
ARWEN:,"But it is not lost.,
 "
ELROND:,"Nothing is certain.,
 "
ARWEN: ,"Some things are certain.,
 "
ARWEN:,"If I leave him now, I will regret it forever. It is time.,
 "
ARWEN:,"From the ashes of fire shall be woken, ,
    A light from the shadow shall spring, ,
    Renewed shall be blade that was broken, ,
    ,
    The crownless again shall be king.,
 "
ARWEN:,"Reforge the sword� ada.,
 "
ELROND:,"Your hands are cold. The life of the Eldar is leaving you. ,
 "
ARWEN:,"This was my choice. Ada, whether by your will or not there is no ship 
    now that can bear me hence.,
 "
GANDALF:,"We have just passed into the realm of Gondor.,
 "
GANDALF: ,"Minas Tirith. City of Kings. ,
 "
PIPPIN:,"It�s the tree! Gandalf, Gandalf.,
 "
GANDALF:,"Yes the white tree of Gondor. The tree of the King. Lord Denethor 
    however, is not the King. He is a steward only, a caretaker of the throne.,
 "
GANDALF:,"Now listen carefully. Lord Denethor is Boromir�s father. To give him 
    news of his beloved son�s death would be most unwise. And do not mention 
    Frodo or the Ring. And say nothing of Aragorn either. In fact, its better if 
    you don�t speak at all Peregrin Took. ,
 "
GANDALF:,"Hail Denethor son of Ecthelion, Lord and Steward of Gondor.,
 "
GANDALF:,"I come with tidings in this dark hour and with counsel.,
 "
DENETHOR:,"Perhaps you come to explain this. ,
 "
DENETHOR: ,"Perhaps you have come to tell me why my son is dead.,
 "
PIPPIN:,"Boromir died to save us my kinsman and me. He fell defending us from 
    many foes. "
GANDALF: ,"Pippin.,
 "
PIPPIN:,"I offer you my service, such as it is in payment of this debt. ,
 "
DENETHOR:,"This is my first command to you. How did you escape and my son did not? 
    So mighty as man as he was.,
 "
PIPPIN: ,"The mightiest man may be slain by one arrow and Boromir was pierced by 
    many.,
 "
GANDALF: ,"Get up!,
 "
GANDALF:,"My lord, there will be a time to grieve for Boromir but it is not now. 
    War is coming. The enemy is on your doorstep. As steward, you are charged 
    with the defence of this city. Where are Gondor�s armies? You still have 
    friends. You are not alone in this fight. Send word to Theoden of Rohan. 
    Light the beacons.,
 "
DENETHOR:,"You think you are wise Mithrandir. Yet for all your subtleties you have 
    not wisdom. Do you think the eyes of the White Tower are blind? I have seen 
    more than you know. With your left hand you would use me as a shield against 
    Mordor and with your right you would seek to supplant me. I know who rides 
    with Theoden of Rohan. Oh yes, word has reached my ears of this Aragorn, son 
    of Arathorn. And I tell you now. I will not bow to this Ranger from the 
    North. Last of a ragged house long bereft of Lordship. ,
 "
GANDALF:,"Authority is not given to you to deny the return of the King, steward.,
 "
DENETHOR:,"The rule of Gondor is mine and no others!,
 "
GANDALF:,"Come!,
 "
GANDALF:,"All had turned to vain ambition. He would use even his grief as a cloak! 
    A thousand years this city has stood and now at the whim of a madman it will 
    fall! And the white tree, the tree of the King will never bloom again.,
 "
PIPPIN:,"Why are they still guarding it? ,
 "
GANDALF: ,"They guard it because they have hope. A faint and fading hope that one 
    day it will flower. That a king will come and this city will be as it once 
    was before it fell into decay. , ,
    The old wisdom born out of the west was forsaken. Kings made tombs more 
    splendid than the houses of the living and counted the old names of their 
    descent , dearer than the names of their sons.
    , ,
    Childless lords sat in aged halls musing on heraldry or in high, cold towers 
    asking questions of the stars. And so the people of Gondor fell into ruin.
    , ,
    The line of Kings failed. The white tree withered. The rule of Gondor was 
    given over to lesser men."
